92
38.0 -428.0 12.8979,       67 68 69,                  stand,  0.0 0.0 0.0,  ,
22.0 -128.0 13.3613,       33 34,                     stand,  0.0 0.0 0.0,  ,
12.0 -810.0 14.125,        66 70,                     stand,  0.0 0.0 0.0,  ,
256.0 -646.0 29.8496,      62 68 70 71 88,            stand,  0.0 0.0 0.0,  ,
504.0 -638.0 16.762,       60 63 64,                  stand,  0.0 0.0 0.0,  ,
802.0 -776.0 18.125,       19 27,                     stand,  0.0 0.0 0.0,  ,
248.0 -386.0 18.125,       22 26 86 87,               stand,  0.0 0.0 0.0,  ,
412.0 -62.0 15.8915,       8 35 77,                   stand,  0.0 0.0 0.0,  ,
492.0 -62.0 14.2579,       7 39 42,                   stand,  0.0 0.0 0.0,  ,
930.0 -648.0 14.9191,      52 53 55,                  stand,  0.0 0.0 0.0,  ,
938.0 -236.0 14.125,       44 47,                     stand,  0.0 0.0 0.0,  ,
1046.0 -640.0 15.7026,     52 56 82,                  stand,  0.0 0.0 0.0,  ,
1046.0 -220.0 15.9875,     47 51 79,                  stand,  0.0 0.0 0.0,  ,
734.0 -712.0 18.125,       19 27 58,                  stand,  0.0 0.0 0.0,  ,
586.0 -672.0 18.1982,      60 63 90,                  stand,  0.0 0.0 0.0,  ,
48.0 10.0 8.7758,          34 35 78,                  stand,  0.0 0.0 0.0,  ,
92.0 -810.0 14.125,        66 70,                     stand,  0.0 0.0 0.0,  ,
122.0 -336.0 13.2602,      33 68 69,                  stand,  0.0 0.0 0.0,  ,
718.0 -216.0 18.125,       28 75,                     stand,  0.0 0.0 0.0,  ,
771.621 -819.694 18.125,   5 13 20 54 57,             stand,  0.0 0.0 0.0,  ,
771.32 -471.524 18.125,    19 21 27 29 58 74 84,      stand,  0.0 0.0 0.0,  ,
552.248 -470.123 18.125,   20 23 25 30 31 84 85,      stand,  0.0 0.0 0.0,  ,
261.581 -478.705 18.125,   6 25 26 86,                stand,  0.0 0.0 0.0,  ,
552.15 -252.504 18.125,    21 24 30 31 32 73,         stand,  0.0 0.0 0.0,  ,
211.632 -236.021 18.125,   23 32 33,                  stand,  0.0 0.0 0.0,  ,
361.773 -470.667 18.125,   21 22 26 30 85,            stand,  0.0 0.0 0.0,  ,
278.614 -443.86 18.125,    6 22 25,                   stand,  0.0 0.0 0.0,  ,
780.002 -691.49 18.125,    5 13 20,                   stand,  0.0 0.0 0.0,  ,
809.315 -192.082 18.125,   18 29,                     stand,  0.0 0.0 0.0,  ,
803.908 -424.537 18.125,   20 28,                     stand,  0.0 0.0 0.0,  ,
512.997 -384.835 18.125,   21 23 25 31 85 87,         stand,  0.0 0.0 0.0,  ,
600.592 -416.712 18.125,   21 23 30 32 84 85,         stand,  0.0 0.0 0.0,  ,
607.823 -222.332 18.125,   23 24 31,                  stand,  0.0 0.0 0.0,  ,
84.0617 -230.942 11.8179,  1 17 24 34 36 69 73 91,    stand,  0.0 0.0 0.0,  ,
86.8551 -70.2674 15.2065,  1 15 33 35 36,             stand,  0.0 0.0 0.0,  ,
253.656 -33.1311 14.7228,  7 15 34 37 77,             stand,  0.0 0.0 0.0,  ,
205.962 -125.808 17.2277,  33 34,                     stand,  0.0 0.0 0.0,  ,
386.711 20.4069 14.125,    35 38 42 78,               stand,  0.0 0.0 0.0,  ,
598.298 16.567 15.8988,    37 39 41 42,               stand,  0.0 0.0 0.0,  ,
597.671 -73.1223 19.061,   8 38 40,                   stand,  0.0 0.0 0.0,  ,
752.092 -69.9018 14.4325,  39 41 43,                  stand,  0.0 0.0 0.0,  ,
746.241 15.3679 14.3734,   38 40 43,                  stand,  0.0 0.0 0.0,  ,
476.884 -11.551 14.125,    8 37 38,                   stand,  0.0 0.0 0.0,  ,
853.355 -91.1837 16.4426,  40 41 44 45,               stand,  0.0 0.0 0.0,  ,
958.446 -173.929 14.6189,  10 43 45 47 79,            stand,  0.0 0.0 0.0,  ,
948.588 -94.3525 19.3346,  43 44,                     stand,  0.0 0.0 0.0,  ,
1064.52 -282.548 16.8797,  47 50 51,                  stand,  0.0 0.0 0.0,  ,
974.669 -288.512 14.1244,  10 12 44 46 48 51,         stand,  0.0 0.0 0.0,  ,
887.89 -347.309 14.125,    47 51 55,                  stand,  0.0 0.0 0.0,  ,
988.254 -441.095 14.125,   50 51 52 55,               stand,  0.0 0.0 0.0,  ,
1066.06 -503.053 14.9188,  46 49 51 52,               stand,  0.0 0.0 0.0,  ,
972.545 -365.528 14.4442,  12 46 47 48 49 50,         stand,  0.0 0.0 0.0,  ,
1005.5 -603.186 14.635,    9 11 49 50 56,             stand,  0.0 0.0 0.0,  ,
990.683 -807.812 14.1587,  9 54 56 82 83,             stand,  0.0 0.0 0.0,  ,
831.633 -880.321 14.1248,  19 53 57 83,               stand,  0.0 0.0 0.0,  ,
918.954 -446.668 14.125,   9 48 49,                   stand,  0.0 0.0 0.0,  ,
1007.73 -659.348 15.2848,  11 52 53 82,               stand,  0.0 0.0 0.0,  ,
752.72 -879.286 15.1531,   19 54 59 76,               stand,  0.0 0.0 0.0,  ,
726.159 -516.04 18.125,    13 20,                     stand,  0.0 0.0 0.0,  ,
597.574 -872.28 14.3811,   57 61 76,                  stand,  0.0 0.0 0.0,  ,
500.716 -732.775 15.7966,  4 14 61 62 76,             stand,  0.0 0.0 0.0,  ,
457.478 -900.164 5.33909,  59 60 62 72,               stand,  0.0 0.0 0.0,  ,
360.845 -801.677 1.03003,  3 60 61 64 65 71,          stand,  0.0 0.0 0.0,  ,
544.509 -637.976 18.7904,  4 14 90,                   stand,  0.0 0.0 0.0,  ,
420.006 -609.665 18.8754,  4 62 72 88,                stand,  0.0 0.0 0.0,  ,
208.665 -762.887 12.4331,  62 70 89,                  stand,  0.0 0.0 0.0,  ,
24.0219 -739.938 14.125,   2 16 67 68,                stand,  0.0 0.0 0.0,  ,
27.3248 -606.811 14.114,   0 66 68,                   stand,  0.0 0.0 0.0,  ,
149.014 -554.749 19.0674,  0 3 17 66 67 69 70 88 91,  stand,  0.0 0.0 0.0,  ,
22.1053 -314.565 9.0234,   0 17 33 68,                stand,  0.0 0.0 0.0,  ,
135.375 -679.293 13.0555,  2 3 16 65 68 89,           stand,  0.0 0.0 0.0,  ,
334.494 -710.718 18.0475,  3 62 72 89,                stand,  0.0 0.0 0.0,  ,
423.606 -755.503 9.57373,  61 64 71,                  stand,  0.0 0.0 0.0,  ,
303.259 -264.514 18.125,   23 33,                     stand,  0.0 0.0 0.0,  ,
677.987 -341.957 18.125,   20 75,                     stand,  0.0 0.0 0.0,  ,
672.996 -285.566 18.125,   18 74,                     stand,  0.0 0.0 0.0,  ,
583.901 -834.632 20.1163,  57 59 60,                  stand,  0.0 0.0 0.0,  ,
333.558 -95.6535 17.9055,  7 35,                      stand,  0.0 0.0 0.0,  ,
223.438 38.1875 14.125,    15 37,                     stand,  0.0 0.0 0.0,  ,
986.04 -251.027 14.1319,   12 44 80,                  stand,  0.0 0.0 0.0,  ,
1018.57 -194.223 22.125,   79 81,                     stand,  0.0 0.0 0.0,  ,
1018.1 2.87157 22.125,     80,                        stand,  0.0 0.0 0.0,  ,
1050.95 -776.074 15.5544,  11 53 56 83,               stand,  0.0 0.0 0.0,  ,
1000.57 -889.21 14.1247,   53 54 82,                  stand,  0.0 0.0 0.0,  ,
660.005 -508.875 18.125,   20 21 31,                  stand,  0.0 0.0 0.0,  ,
467.467 -447.922 18.125,   21 25 30 31 87,            stand,  0.0 0.0 0.0,  ,
223.125 -504.867 18.125,   6 22,                      stand,  0.0 0.0 0.0,  ,
323.505 -341.285 18.125,   6 30 85,                   stand,  0.0 0.0 0.0,  ,
287.31 -572.62 19.3787,    3 64 68,                   stand,  0.0 0.0 0.0,  ,
239.196 -710.578 18.7439,  65 70 71,                  stand,  0.0 0.0 0.0,  ,
613.474 -606.819 18.0244,  14 63,                     stand,  0.0 0.0 0.0,  ,
167.558 -327.889 13.6239,  33 68,                     stand,  0.0 0.0 0.0,  ,
